Benchmark,Partitions,Strategy A (fatten at last),Strategy B (flatten before ABC),Strategy C (synthesis at begin)
adder,1,912.35808,910.02528,906.75936
adder,2,836.3088,910.02528,906.75936
adder,3,831.6432,910.02528,906.75936
adder,4,876.43296,910.02528,906.75936
adder,5,847.9728,910.02528,906.75936
adder,6,843.3072,910.02528,906.75936
adder,7,844.4736,910.02528,906.75936
adder,8,844.70688,910.02528,906.75936
adder,9,873.16704,910.02528,906.75936
adder,10,856.83744,910.02528,906.75936
adder,11,859.6368,910.02528,906.75936
adder,12,880.39872,910.02528,906.75936
adder,13,869.90112,910.02528,906.75936
adder,14,860.56992,910.02528,906.75936
adder,15,880.632,910.02528,906.75936
adder,16,906.05952,910.02528,906.75936
adder,17,898.59456,910.02528,906.75936
adder,18,896.26176,910.02528,906.75936
adder,19,888.56352,910.02528,906.75936
adder,20,889.03008,910.02528,906.75936
priority,1,329.15808,336.85632,321.69312
priority,2,341.05536,336.85632,321.69312
priority,3,346.65408,336.85632,321.69312
priority,4,373.01472,336.85632,321.69312
priority,5,378.84672,336.85632,321.69312
priority,6,405.20736,336.85632,321.69312
priority,7,388.64448,336.85632,321.69312
priority,8,400.54176,336.85632,321.69312
priority,9,401.2416,336.85632,321.69312
priority,10,406.84032,336.85632,321.69312
priority,11,404.27424,336.85632,321.69312
priority,12,406.84032,336.85632,321.69312
priority,13,400.30848,336.85632,321.69312
priority,14,406.60704,336.85632,321.69312
priority,15,404.50752,336.85632,321.69312
priority,16,415.2384,336.85632,321.69312
priority,17,422.2368,336.85632,320.29344
priority,18,431.80128,336.85632,321.69312
priority,19,436.2336,337.32288,321.69312
priority,20,428.0688,336.85632,321.69312
cavlc,1,219.98304,211.81824,213.21792
cavlc,2,251.24256,210.88512,213.21792
cavlc,3,281.56896,207.85248,213.4512
cavlc,4,301.39776,209.01888,210.88512
cavlc,5,300.69792,216.48384,222.7824
cavlc,6,321.22656,210.65184,209.01888
cavlc,7,356.9184,215.08416,220.68288
cavlc,8,339.4224,212.98464,210.88512
cavlc,9,349.68672,211.81824,213.91776
cavlc,10,375.81408,221.616,212.2848
cavlc,11,371.38176,209.71872,206.4528
cavlc,12,390.04416,206.4528,221.616
cavlc,13,403.10784,216.01728,210.41856
cavlc,14,405.9072,212.98464,219.2832
cavlc,15,397.27584,210.88512,207.15264
cavlc,16,391.21056,212.75136,223.9488
cavlc,17,418.50432,221.14944,216.25056
cavlc,18,410.5728,204.12,216.9504
cavlc,19,418.27104,216.71712,207.85248
cavlc,20,436.2336,210.88512,210.65184
dec,1,290.20032,290.20032,290.20032
dec,2,466.79328,290.20032,290.20032
dec,3,447.43104,290.20032,290.20032
dec,4,462.59424,290.20032,290.20032
dec,5,439.96608,290.20032,290.20032
dec,6,445.79808,290.20032,290.20032
dec,7,449.76384,290.20032,290.20032
dec,8,458.62848,290.20032,290.20032
dec,9,443.46528,290.20032,290.20032
dec,10,427.13568,290.20032,290.20032
dec,11,426.66912,290.20032,290.20032
dec,12,433.20096,290.20032,290.20032
dec,13,438.79968,290.20032,290.20032
dec,14,446.7312,290.20032,290.20032
dec,15,433.20096,290.20032,290.20032
dec,16,445.09824,290.20032,290.20032
dec,17,432.50112,290.20032,290.20032
dec,18,439.49952,290.20032,290.20032
dec,19,429.93504,290.20032,290.20032
dec,20,437.16672,290.20032,290.20032
i2c,1,589.73184,579.7008,588.79872
i2c,2,624.95712,578.76768,590.89824
i2c,3,655.75008,581.10048,590.89824
i2c,4,710.57088,579.23424,586.46592
i2c,5,735.76512,585.06624,587.16576
i2c,6,740.43072,582.96672,592.29792
i2c,7,731.09952,588.33216,586.23264
i2c,8,730.1664,591.59808,584.59968
i2c,9,761.6592,586.6992,599.99616
i2c,10,788.01984,568.50336,595.33056
i2c,11,772.39008,581.80032,590.1984
i2c,12,808.08192,586.93248,583.66656
i2c,13,808.78176,595.56384,586.23264
i2c,14,845.64,577.60128,595.56384
i2c,15,819.74592,589.73184,581.33376
i2c,16,808.3152,589.73184,588.09888
i2c,17,846.10656,576.90144,587.39904
i2c,18,845.40672,567.57024,591.3648
i2c,19,854.03808,583.43328,588.09888
i2c,20,879.23232,585.76608,594.39744
max,1,1690.81344,1872.072,1738.16928
max,2,1582.57152,1872.072,1738.16928
max,3,1614.2976,1872.072,1738.16928
max,4,1638.792,1872.072,1738.16928
max,5,1682.18208,1872.072,1738.16928
max,6,1657.4544,1872.072,1738.16928
max,7,1690.34688,1872.072,1738.16928
max,8,1686.6144,1872.072,1738.16928
max,9,1705.51008,1872.072,1738.16928
max,10,1731.17088,1872.072,1738.16928
max,11,1747.50048,1872.072,1738.16928
max,12,1715.7744,1872.072,1738.16928
max,13,1791.5904,1872.072,1738.16928
max,14,1742.13504,1872.072,1738.16928
max,15,1747.50048,1872.072,1738.16928
max,16,1827.28224,1872.072,1738.16928
max,17,1806.98688,1872.072,1738.16928
max,18,1761.264,1872.072,1738.16928
max,19,1848.744,1870.43904,1738.16928
max,20,1799.52192,1872.072,1738.16928
ctrl,1,59.4864,55.05408,58.78656
ctrl,2,67.88448,55.05408,73.24992
ctrl,3,96.11136,56.22048,73.01664
ctrl,4,92.1456,63.45216,70.68384
ctrl,5,103.10976,55.05408,74.88288
ctrl,6,95.41152,53.88768,59.25312
ctrl,7,104.04288,56.68704,73.01664
ctrl,8,106.37568,54.35424,58.55328
ctrl,9,102.40992,66.4848,73.01664
ctrl,10,115.00704,54.35424,61.35264
ctrl,11,113.37408,59.71968,71.61696
ctrl,12,114.54048,54.35424,58.55328
ctrl,13,124.10496,53.18784,59.25312
ctrl,14,128.07072,56.45376,60.6528
ctrl,15,123.40512,53.18784,60.6528
ctrl,16,117.33984,56.92032,69.984
ctrl,17,132.03648,56.22048,71.38368
ctrl,18,125.27136,59.4864,74.88288
ctrl,19,130.87008,54.35424,59.71968
ctrl,20,130.17024,55.52064,71.85024
bar,1,1809.31968,1960.25184,1969.34976
bar,2,1885.36896,1961.41824,1975.18176
bar,3,1883.96928,1961.41824,1974.24864
bar,4,1964.2176,1960.25184,1974.24864
bar,5,2019.73824,1960.25184,1970.51616
bar,6,2004.80832,1996.41024,1998.50976
bar,7,2042.59968,1961.41824,1992.2112
bar,8,2261.6496,1961.41824,1970.51616
bar,9,2301.77376,1961.41824,1969.34976
bar,10,2193.76512,1962.58464,1975.18176
bar,11,2170.43712,1970.74944,1989.64512
bar,12,2258.38368,1964.91744,1971.68256
bar,13,2133.81216,1962.58464,1970.51616
bar,14,2126.58048,1970.28288,1971.44928
bar,15,2069.42688,1964.91744,1977.048
bar,16,2050.76448,1962.58464,1977.51456
bar,17,2012.97312,1963.98432,1967.7168
bar,18,2088.32256,1966.08384,1970.51616
bar,19,2099.75328,1963.0512,1973.31552
bar,20,2044.93248,1968.18336,1974.01536
router,1,205.05312,204.81984,210.65184
router,2,200.38752,205.98624,210.65184
router,3,211.1184,225.58176,210.65184
router,4,230.24736,207.6192,207.6192
router,5,223.01568,215.784,210.65184
router,6,226.04832,204.12,213.21792
router,7,233.04672,200.15424,207.6192
router,8,251.47584,202.72032,207.6192
router,9,248.4432,203.18688,227.21472
router,10,233.28,211.81824,210.65184
router,11,249.84288,202.48704,211.81824
router,12,251.24256,207.6192,211.81824
router,13,232.1136,208.7856,223.9488
router,14,245.17728,199.92096,223.9488
router,15,230.48064,223.71552,207.6192
router,16,231.64704,200.85408,207.6192
router,17,239.81184,200.6208,228.14784
router,18,244.01088,212.51808,228.14784
router,19,236.7792,196.18848,212.51808
router,20,238.87872,212.98464,212.51808